"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="009817","國泰日本不動產","04/10","9.43","-0.08","-0.84","","","","","","","","","","","","",""
="009818","華南永昌NASDAQxT","04/10","15.52","+0.2","+1.31","","","","","","","","","","","","",""
"00981A","主動統一台股增長","04/10","23.13","+0.55","+2.44","26Q1","季","0.41","0","0.41","20.27","8.09","","0","8.09","'26/03/17","","'26/04/10"
"00981B","第一金優選非投債","04/10","9.38","0","0","26M04","月","0.063","0","0.063","9.38","8.06","","0","8.06","'26/04/22","","'26/05/15"
"00981D","主動中信非投等債","04/10","10.45","+0.02","+0.19","26M04","月","0.07","0","0.07","10.45","8.04","","0","8.04","'26/04/20","","'26/05/15"
"00981T","平衡凱基雙核收息","04/10","11.31","+0.05","+0.44","26M04","月","0.057","0","0.057","11.31","6.05","","0","6.05","'26/04/20","","'26/05/15"
"00982A","主動群益台灣強棒","04/10","18.14","+0.58","+3.3","26Q1","季","0.377","0","0.377","16.76","9","","0","9","'26/02/26","","'26/03/25"
"00982B","FT投資級債20+","04/10","9.96","+0.01","+0.1","26M04","月","0.042","0","0.042","9.96","5.06","","0","5.06","'26/04/20","","'26/05/14"
"00982D","主動富邦動態入息","04/10","10.08","-0.01","-0.1","26M04","月","0.052","0","0.052","10.08","6.19","","0","6.19","'26/04/20","","'26/05/15"
"00982T","平衡兆豐台美動能","04/10","11.51","+0.1","+0.88","","","","","","","","","","","","",""
"00983A","主動中信ARK創新","04/10","10.56","-0.16","-1.49","","","","","","","","","","","","",""
"00983B","大華優利美公債20","04/10","15.93","-0.05","-0.31","26M04","月","0.064","0","0.064","16.15","4.76","","0","4.76","'26/04/01","","'26/04/24"
"00983D","主動富邦複合收益","04/10","10.26","0","0","26M04","月","0.06","0","0.06","10.26","7.02","","0","7.02","'26/04/20","","'26/05/15"
"00984A","主動安聯台灣高息","04/10","13.35","+0.15","+1.14","26Q2","季","0.268","0","0.268","13.35","8.03","","0","8.03","'26/04/20","","'26/05/15"
"00984B","大華優利美A債15","04/10","16.56","-0.03","-0.18","26M04","月","0.081","0","0.081","16.51","5.89","","0","5.89","'26/04/01","","'26/04/24"
"00984D","主動聯博全球非投","04/10","10.07","+0.04","+0.4","","","","","","","","","","","","",""
"00985A","主動野村台灣50","04/10","17.17","+0.37","+2.2","","","","","","","","","","","","",""
"00985B","群益ESG投等債0-5","04/10","10.28","-0.01","-0.1","26M04","月","0.048","0","0.048","10.35","5.57","","0","5.57","'26/04/02","","'26/04/30"
"00985D","主動貝萊德優投等","04/10","10.22","+0.01","+0.1","","","","","","","","","","","","",""
"00986A","主動台新龍頭成長","04/10","12.74","+0.14","+1.11","","","","","","","","","","","","",""
"00986B","FT金融債10+","04/10","10","-0.01","-0.1","26M03","月","0.043","0","0.043","9.9","5.21","","0","5.21","'26/03/31","","'26/04/23"
"00987A","主動台新優勢成長","04/10","13.96","+0.41","+3.03","","","","","","","","","","","","",""
"00987B","野村10+澳洲公債","04/10","15.75","0","0","","","","","","","","","","","","",""
"00988A","主動統一全球創新","04/10","14.98","+0.55","+3.81","","","","","","","","","","","","",""
"00988B","玉山嚴選非投債","04/10","20.06","+0.05","+0.25","","","","","","","","","","","","",""
"00989A","主動摩根美國科技","04/10","14.27","-0.03","-0.21","","","","","","","","","","","","",""
"00989B","台新美國非投等債","04/10","10.05","0","0","","","","","","","","","","","","",""
"00990A","主動元大AI新經濟","04/10","14.01","+0.5","+3.7","","","","","","","","","","","","",""
"00991A","主動復華未來50","04/10","13.89","+0.42","+3.12","","","","","","","","","","","","",""
"00992A","主動群益科技創新","04/10","14.91","+0.45","+3.11","","","","","","","","","","","","",""
"00993A","主動安聯台灣","04/10","11.52","+0.18","+1.59","","","","","","","","","","","","",""
"00994A","主動第一金台股優","04/10","14.09","+0.4","+2.92","","","","","","","","","","","","",""
"00995A","主動中信台灣卓越","04/10","13.3","+0.28","+2.15","","","","","","","","","","","","",""
"00996A","主動兆豐台灣豐收","04/10","10.8","+0.23","+2.18","","","","","","","","","","","","",""
